75,0.025,35.6667,0,0
150,0.05,71.3333,32,295
225,0.075,109.667,609,3470
300,0.1,135.667,2879,13577
375,0.125,147.667,5415,24327
450,0.15,150.667,7324,30785
525,0.175,156,8929,34347
600,0.2,156.333,10651,36747
675,0.225,158,12336,38163
750,0.25,156.667,13641,38507
825,0.275,160.667,14596,38477
900,0.3,156.667,15940,38781
975,0.325,156.667,16327,37700
1050,0.35,158.667,16553,36343
1125,0.375,157.667,16961,34646
1200,0.4,151.333,16943,33057
1275,0.425,158.333,16975,30974
1350,0.45,148.667,16800,29321
1425,0.475,147.333,16164,27349
1500,0.5,144.333,15898,25227
1575,0.525,131.333,14926,23325
