Number of Vehicle,flux
1,2
2,4
3,5
4,7
5,8
6,10
7,9
8,13
9,13
10,15
11,18
12,14
13,22
14,19
15,23
16,23
17,24
18,24
19,27
20,29
21,31
22,30
23,31
24,36
25,41
26,36
27,42
28,46
29,46
30,46
31,44
32,44
33,49
34,52
35,50
36,56
37,56
38,54
39,59
40,59
41,60
42,66
43,62
44,64
45,71
46,72
47,75
48,74
49,76
51,78
50,77
52,78
53,77
54,77
55,84
56,87
57,82
58,88
59,86
60,91
61,90
62,94
63,94
64,96
65,97
66,98
67,99
68,100
69,100
70,101
72,105
71,102
73,105
74,106
76,108
75,107
77,110
78,110
80,113
79,112
81,113
82,113
83,119
84,119
85,119
86,122
87,123
88,123
89,128
90,127
91,127
92,129
93,131
94,130
95,135
96,136
97,135
98,139
99,142
100,141
101,141
102,143
103,145
104,145
105,146
106,148
107,148
108,151
109,151
110,156
112,152
111,157
113,153
114,155
115,155
116,155
117,164
118,163
119,162
120,161
121,164
122,162
124,173
123,169
125,166
126,169
127,175
128,173
129,174
130,175
131,178
132,169
133,176
134,178
135,176
136,177
137,180
138,180
139,181
140,180
141,185
142,190
143,189
144,185
145,184
146,188
147,192
148,191
149,193
150,191
151,193
152,198
153,191
154,198
155,196
156,197
157,199
158,200
159,204
160,202
161,208
162,204
163,198
164,205
165,212
166,212
167,209
168,210
169,217
170,210
171,213
172,212
173,209
174,210
175,223
176,212
177,219
178,230
179,216
180,222
